block,condition,tr_num,left_image1,right_image1,left_image2,right_image2,audio1,audio2,audio1_dur,audio2_dur,target_side,correct_response,background
1,phono,1,venus,neptune,B1,neptune,bem-phono,there-he,7000,5000,L,0,black-background
1,phono,2,mars,jupiter,H1,jupiter,toma-phono,there-she,7000,5000,L,0,black-background
2,visuo,5,B1,neptune,venus,neptune,new-friend-him,bem-vis,5000,7000,L,0,black-background
2,visuo,11,H1,jupiter,mars,jupiter,one-friend-her,toma-vis,5000,7000,L,0,black-background
